season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,TOD,Rush,Wind,Hum,prev_count
4,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,Night,Not Rush,Low,High,2.0
4,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,Night,Not Rush,Low,High,1.0
4,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,Morning,Not Rush,Medium,High,4.0
4,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,Morning,Rush,Low,Medium,36.0
4,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219,Morning,Rush,Low,Medium,95.0
4,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122,Morning,Not Rush,Low,Medium,219.0
4,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45,Morning,Not Rush,Low,Medium,122.0
4,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,Morning,Not Rush,Low,Medium,45.0
4,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84,Afternoon,Not Rush,Low,Medium,59.0
4,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,Afternoon,Not Rush,Medium,Medium,84.0
4,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,Afternoon,Not Rush,Medium,Medium,67.0
4,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62,Afternoon,Not Rush,Low,Medium,70.0
4,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,Afternoon,Not Rush,Medium,Medium,62.0
4,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,Evening,Rush,Medium,Medium,86.0
4,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,Evening,Rush,Medium,Medium,172.0
4,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,Evening,Not Rush,Low,Medium,163.0
4,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,Evening,Not Rush,Medium,Medium,112.0
4,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,Night,Not Rush,High,Medium,69.0
4,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,Night,Not Rush,High,Medium,48.0
4,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,Night,Not Rush,Medium,Medium,52.0
4,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,Night,Not Rush,Medium,High,23.0
4,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,Night,Not Rush,High,High,17.0
4,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,Night,Not Rush,High,High,7.0
4,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,Night,Not Rush,Medium,High,1.0
4,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5,Night,Not Rush,Low,Medium,1.0
4,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34,Morning,Not Rush,Low,High,5.0
4,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84,Morning,Rush,Medium,High,34.0
4,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210,Morning,Rush,High,Medium,84.0
4,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134,Morning,Not Rush,High,Medium,210.0
4,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63,Morning,Not Rush,High,Medium,134.0
4,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67,Morning,Not Rush,High,Medium,63.0
4,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59,Afternoon,Not Rush,High,Medium,67.0
4,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73,Afternoon,Not Rush,High,Medium,59.0
4,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50,Afternoon,Not Rush,High,Medium,73.0
4,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72,Afternoon,Not Rush,Medium,Medium,50.0
4,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87,Afternoon,Not Rush,Medium,Medium,72.0
4,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,Evening,Rush,Low,Medium,87.0
4,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123,Evening,Rush,Low,Medium,187.0
4,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95,Evening,Not Rush,Low,Medium,123.0
4,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51,Evening,Not Rush,Medium,Medium,95.0
4,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,Night,Not Rush,Medium,Medium,51.0
4,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36,Night,Not Rush,Medium,Medium,39.0
4,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15,Night,Not Rush,Medium,Medium,36.0
4,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25,Night,Not Rush,Medium,Medium,15.0
4,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16,Night,Not Rush,Low,Medium,25.0
4,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16,Night,Not Rush,Low,Medium,16.0
4,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7,Night,Not Rush,Medium,Medium,16.0
4,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1,Night,Not Rush,Medium,Medium,7.0
4,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5,Night,Not Rush,Medium,High,1.0
4,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2,Morning,Not Rush,Medium,High,5.0
4,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9,Morning,Rush,Medium,High,2.0
4,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,Morning,Rush,Medium,High,9.0
4,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,Morning,Not Rush,Medium,High,15.0
4,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61,Morning,Not Rush,Medium,High,20.0
4,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62,Morning,Not Rush,High,High,61.0
4,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98,Afternoon,Not Rush,High,Medium,62.0
4,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102,Afternoon,Not Rush,High,Medium,98.0
4,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,Afternoon,Not Rush,High,Medium,102.0
4,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,Afternoon,Not Rush,High,Medium,95.0
4,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,Afternoon,Not Rush,High,Low,74.0
4,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,Evening,Rush,High,Medium,76.0
4,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55,Evening,Rush,High,Medium,69.0
4,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30,Evening,Not Rush,High,Medium,55.0
4,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,Evening,Not Rush,High,Medium,30.0
4,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37,Night,Not Rush,High,Medium,28.0
4,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34,Night,Not Rush,High,Medium,37.0
4,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,Night,Not Rush,High,Medium,34.0
4,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25,Night,Not Rush,High,Medium,22.0
4,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,Night,Not Rush,High,Medium,25.0
4,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,Night,Not Rush,High,Medium,12.0
4,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,Night,Not Rush,High,Medium,11.0
4,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1,Night,Not Rush,Medium,Medium,4.0
4,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1,Night,Not Rush,Medium,Medium,1.0
4,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,Morning,Not Rush,High,Medium,1.0
4,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6,Morning,Rush,Medium,Medium,1.0
4,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,Morning,Rush,High,Medium,6.0
4,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,Morning,Not Rush,High,Medium,10.0
4,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,Morning,Not Rush,High,Medium,19.0
4,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,Morning,Not Rush,High,Medium,49.0
4,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83,Afternoon,Not Rush,High,Medium,49.0
4,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75,Afternoon,Not Rush,High,Medium,83.0
4,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72,Afternoon,Not Rush,High,Medium,75.0
4,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82,Afternoon,Not Rush,High,Medium,72.0
4,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92,Afternoon,Not Rush,High,Medium,82.0
4,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62,Evening,Rush,High,Medium,92.0
4,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48,Evening,Rush,High,Medium,62.0
4,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41,Evening,Not Rush,High,Medium,48.0
4,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,Evening,Not Rush,High,Medium,41.0
4,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20,Night,Not Rush,High,Medium,38.0
4,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15,Night,Not Rush,High,Medium,20.0
4,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6,Night,Not Rush,Medium,Medium,15.0
4,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5,Night,Not Rush,High,Medium,6.0
4,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,Night,Not Rush,High,Medium,5.0
4,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,Night,Not Rush,High,Medium,1.0
4,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,Night,Not Rush,High,Medium,3.0
4,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3,Night,Not Rush,Medium,Medium,1.0
4,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,Night,Not Rush,High,Medium,3.0
4,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,Morning,Not Rush,High,Medium,3.0
4,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77,Morning,Rush,High,Medium,31.0
4,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188,Morning,Rush,High,Medium,77.0
4,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94,Morning,Not Rush,High,Medium,188.0
4,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31,Morning,Not Rush,High,Medium,94.0
4,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30,Morning,Not Rush,High,Medium,31.0
4,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52,Afternoon,Not Rush,High,Medium,30.0
4,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54,Afternoon,Not Rush,High,Medium,52.0
4,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47,Afternoon,Not Rush,High,Medium,54.0
4,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45,Afternoon,Not Rush,High,Medium,47.0
4,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74,Afternoon,Not Rush,Medium,Medium,45.0
4,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178,Evening,Rush,Medium,Medium,74.0
4,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155,Evening,Rush,High,Medium,178.0
4,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95,Evening,Not Rush,Medium,Medium,155.0
4,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74,Evening,Not Rush,Medium,Medium,95.0
4,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38,Night,Not Rush,Medium,Medium,74.0
4,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24,Night,Not Rush,Medium,Medium,38.0
4,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18,Night,Not Rush,Medium,Medium,24.0
4,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12,Night,Not Rush,Medium,Medium,18.0
4,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3,Night,Not Rush,Medium,Medium,12.0
4,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3,Night,Not Rush,Medium,Medium,3.0
4,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6,Night,Not Rush,Medium,Medium,3.0
4,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27,Morning,Not Rush,Medium,Medium,6.0
4,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99,Morning,Rush,Low,Medium,27.0
4,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217,Morning,Rush,Low,Medium,99.0
4,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130,Morning,Not Rush,Medium,Medium,217.0
4,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54,Morning,Not Rush,Medium,Medium,130.0
4,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35,Morning,Not Rush,Medium,Medium,54.0
4,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57,Afternoon,Not Rush,Medium,Medium,35.0
4,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52,Afternoon,Not Rush,Low,Medium,57.0
4,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63,Afternoon,Not Rush,Low,Medium,52.0
4,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47,Afternoon,Not Rush,Low,High,63.0
4,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76,Afternoon,Not Rush,High,High,47.0
4,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136,Evening,Rush,High,High,76.0
4,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95,Evening,Rush,Medium,High,136.0
